Fecha,Metano,O2_min,O2_max,CO,H2S,Temp,O2_Media
2020-11-04 07:34:00,3.6,19.7,20.0,1,0,29.0,19.85
2020-11-04 07:37:00,3.55,19.7,20.0,1,0,29.0,19.85
2020-11-04 07:40:00,3.75,19.7,19.8,1,0,29.0,19.75
2020-11-04 07:43:00,5.0,19.6,20.2,1,0,29.0,19.9
2020-11-04 07:47:00,0.55,20.8,20.8,0,0,28.0,20.8
2020-11-04 07:50:00,1.8,19.8,20.8,1,0,28.0,20.3
2020-11-04 07:53:00,1.95,19.9,20.1,1,0,28.0,20.0
2020-11-04 07:56:00,1.5,20.0,20.1,1,0,28.0,20.05
2020-11-04 07:59:00,1.5,20.0,20.0,1,0,28.0,20.0
2020-11-04 08:02:00,1.5,20.0,20.0,1,0,28.0,20.0
2020-11-04 08:05:00,1.45,20.0,20.1,1,0,28.0,20.05
2020-11-04 08:08:00,1.4,20.0,20.1,1,0,28.0,20.05
2020-11-04 08:11:00,1.4,20.0,20.1,1,0,28.0,20.05
2020-11-04 08:14:00,1.25,20.1,20.2,1,0,28.0,20.15
2020-11-04 08:17:00,1.4,20.2,20.3,1,0,29.0,20.25
2020-11-04 08:20:00,1.45,20.2,20.2,1,0,29.0,20.2
2020-11-04 08:23:00,1.5,20.2,20.3,1,0,29.0,20.25
2020-11-04 08:26:00,1.45,20.2,20.3,1,0,29.0,20.25
2020-11-04 08:29:00,1.55,20.2,20.3,1,0,29.0,20.25
2020-11-04 08:32:00,1.55,20.2,20.3,1,0,28.0,20.25
2020-11-04 08:35:00,1.55,20.1,20.2,0,0,28.0,20.15
2020-11-04 08:38:00,1.7,20.1,20.3,1,0,28.0,20.200000000000003
2020-11-04 08:41:00,1.6,20.1,20.3,1,0,28.0,20.200000000000003
2020-11-04 08:44:00,1.8,20.1,20.2,0,0,28.0,20.15
2020-11-04 08:47:00,1.7,20.1,20.3,1,0,28.0,20.200000000000003
2020-11-04 08:50:00,1.55,20.1,20.2,1,0,28.0,20.15
2020-11-04 08:53:00,1.6,20.1,20.3,1,0,28.0,20.200000000000003
2020-11-04 08:56:00,1.55,20.2,20.3,1,0,28.0,20.25
2020-11-04 08:59:00,5.0,19.4,20.3,1,0,28.0,19.85
2020-11-04 09:04:00,0.5,20.3,20.8,0,0,27.0,20.55
2020-11-04 09:07:00,1.5,20.1,20.4,1,0,27.0,20.25
2020-11-04 09:10:00,1.55,20.2,20.3,1,0,27.0,20.25
